ax,ay,az,gx,gy,gz,cls
-4.949,-1.415,-8.641,-6.962,6.664,-1.916,1
-4.891,-1.393,-8.593,-7.183,6.656,-1.611,1
-4.951,-1.393,-8.669,-7.084,6.718,-1.672,1
-4.915,-1.365,-8.653,-7.130,6.748,-1.725,1
-4.944,-1.444,-8.679,-7.038,6.664,-1.687,1
-4.899,-1.343,-8.624,-7.038,6.634,-1.817,1
-4.942,-1.437,-8.622,-7.053,6.740,-1.595,1
-4.899,-1.312,-8.629,-7.038,6.771,-1.763,1
-4.901,-1.415,-8.562,-7.008,6.695,-1.847,1
-4.925,-1.331,-8.626,-7.115,6.710,-1.756,1
-4.922,-1.487,-8.617,-7.122,6.718,-1.824,1
-4.925,-1.310,-8.636,-7.115,6.626,-1.756,1
-4.949,-1.441,-8.617,-7.069,6.656,-1.618,1
-4.939,-1.343,-8.610,-7.061,6.649,-1.763,1
-4.954,-1.434,-8.648,-7.137,6.679,-1.618,1
-4.918,-1.374,-8.645,-7.099,6.802,-1.771,1
-4.911,-1.413,-8.641,-7.084,6.718,-1.687,1
-4.879,-1.374,-8.679,-7.099,6.649,-1.687,1
-4.978,-1.434,-8.598,-7.130,6.718,-1.779,1
-4.922,-1.365,-8.610,-7.183,6.687,-1.649,1
-4.908,-1.465,-8.677,-7.069,6.748,-1.794,1
-4.918,-1.343,-8.629,-7.023,6.664,-1.832,1
-4.908,-1.444,-8.662,-7.076,6.710,-1.756,1
-4.968,-1.343,-8.586,-7.061,6.588,-1.824,1
-4.939,-1.369,-8.701,-7.015,6.771,-1.389,1
-4.985,-1.324,-8.595,-7.160,6.733,-1.832,1
-4.908,-1.429,-8.691,-7.137,6.695,-1.885,1
-4.918,-1.355,-8.593,-7.099,6.763,-1.618,1
-4.887,-1.391,-8.650,-7.206,6.763,-1.779,1
-4.920,-1.362,-8.638,-7.076,6.740,-1.763,1
-4.944,-1.413,-8.662,-7.206,6.763,-1.947,1
-4.908,-1.420,-8.674,-6.992,6.656,-1.794,1
-4.922,-1.398,-8.672,-7.107,6.679,-1.595,1
-4.927,-1.420,-8.588,-7.137,6.695,-1.748,1
-4.927,-1.405,-8.554,-7.137,6.664,-2.076,1
-4.915,-1.369,-8.657,-7.031,6.748,-1.466,1
-4.966,-1.343,-8.583,-7.145,6.626,-1.779,1
-4.934,-1.396,-8.638,-7.115,6.779,-1.893,1
-4.913,-1.362,-8.691,-7.061,6.695,-1.649,1
-4.922,-1.389,-8.641,-7.145,6.664,-1.542,1
-4.915,-1.384,-8.677,-7.061,6.733,-1.702,1
-4.908,-1.389,-8.648,-7.137,6.718,-1.779,1
-4.939,-1.393,-8.653,-7.099,6.740,-1.580,1
-4.946,-1.405,-8.701,-7.160,6.702,-2.053,1
-4.901,-1.355,-8.624,-7.008,6.687,-1.542,1
-4.934,-1.372,-8.657,-7.107,6.756,-1.847,1
-4.911,-1.386,-8.667,-6.931,6.725,-1.763,1
-4.949,-1.427,-8.614,-7.122,6.748,-1.855,1
-4.980,-1.453,-8.617,-6.977,6.687,-1.618,1
-4.887,-1.350,-8.701,-7.099,6.664,-1.817,1
-4.939,-1.413,-8.653,-7.076,6.695,-1.771,1
-4.930,-1.429,-8.643,-7.092,6.664,-1.702,1
-4.939,-1.413,-8.679,-7.084,6.649,-1.695,1
-4.899,-1.425,-8.629,-7.145,6.733,-1.756,1
-4.932,-1.441,-8.660,-7.168,6.763,-1.733,1
-4.927,-1.417,-8.607,-7.023,6.756,-1.847,1
-4.906,-1.415,-8.631,-7.000,6.809,-1.702,1
-4.932,-1.381,-8.619,-7.053,6.634,-1.695,1
-4.896,-1.413,-8.665,-7.168,6.710,-1.634,1
-4.911,-1.391,-8.636,-7.092,6.725,-1.664,1
-4.887,-1.389,-8.598,-7.153,6.687,-1.756,1
-4.920,-1.374,-8.612,-7.008,6.824,-1.954,1
-4.867,-1.374,-8.672,-7.046,6.687,-1.664,1
-4.930,-1.410,-8.669,-7.107,6.672,-1.557,1
-4.879,-1.346,-8.581,-7.115,6.634,-1.595,1
-4.927,-1.451,-8.590,-7.015,6.740,-1.649,1
-4.934,-1.377,-8.660,-7.206,6.611,-1.710,1
-4.934,-1.475,-8.674,-7.298,6.611,-1.290,1
-4.901,-1.425,-8.614,-6.878,6.832,-2.366,1
-4.958,-1.441,-8.662,-6.947,6.679,-1.817,1
-4.896,-1.362,-8.645,-7.229,6.588,-1.496,1
