ax,ay,az,gx,gy,gz,cls
-4.932,-1.942,-8.576,-7.115,6.771,-1.863,1
-4.956,-1.918,-8.562,-7.122,6.763,-1.779,1
-4.899,-1.973,-8.514,-7.130,6.763,-1.679,1
-4.942,-1.956,-8.480,-7.221,6.756,-1.649,1
-4.930,-1.915,-8.509,-7.099,6.779,-1.824,1
-4.980,-1.944,-8.511,-7.168,6.763,-1.656,1
-4.915,-1.932,-8.543,-7.092,6.702,-1.656,1
-4.958,-1.925,-8.554,-7.130,6.802,-1.809,1
-4.944,-1.927,-8.511,-7.099,6.679,-1.733,1
-4.930,-1.925,-8.454,-7.183,6.756,-1.527,1
-4.908,-1.937,-8.521,-7.053,6.756,-2.092,1
-4.899,-1.923,-8.523,-7.145,6.763,-1.565,1
-4.961,-1.901,-8.576,-7.214,6.733,-1.672,1
-4.915,-1.954,-8.531,-7.008,6.710,-1.908,1
-4.966,-1.937,-8.578,-7.130,6.771,-1.626,1
-4.934,-1.973,-8.519,-7.145,6.748,-1.550,1
-4.999,-1.942,-8.528,-7.076,6.725,-1.832,1
-4.932,-1.992,-8.502,-7.107,6.740,-1.763,1
-4.980,-1.930,-8.523,-7.099,6.748,-1.809,1
-4.939,-1.970,-8.511,-7.298,6.763,-1.557,1
-4.973,-1.903,-8.519,-7.130,6.748,-1.695,1
-4.920,-1.915,-8.531,-7.160,6.687,-1.702,1
-4.903,-1.930,-8.538,-7.069,6.756,-1.878,1
-4.937,-1.987,-8.531,-7.122,6.672,-1.504,1
-4.970,-1.908,-8.523,-7.237,6.672,-1.626,1
-4.915,-1.958,-8.511,-7.008,6.763,-1.840,1
-4.987,-1.966,-8.471,-7.137,6.824,-1.947,1
-4.958,-1.990,-8.475,-7.214,6.649,-1.534,1
-4.973,-1.973,-8.497,-7.053,6.664,-1.855,1
-4.927,-2.025,-8.487,-7.053,6.756,-1.672,1
-4.992,-1.961,-8.543,-7.183,6.695,-1.634,1
-4.932,-1.968,-8.533,-7.153,6.672,-1.695,1
-4.997,-1.915,-8.540,-7.008,6.733,-1.794,1
-4.930,-1.968,-8.511,-7.229,6.740,-1.656,1
-4.975,-1.920,-8.516,-7.160,6.756,-1.718,1
-4.908,-1.958,-8.511,-7.145,6.679,-1.718,1
-4.908,-1.966,-8.519,-6.992,6.870,-2.084,1
-4.942,-1.973,-8.631,-7.214,6.702,-1.496,1
-4.942,-1.915,-8.473,-7.290,6.763,-1.336,1
-4.903,-1.944,-8.535,-7.061,6.771,-1.855,1
-4.951,-1.970,-8.538,-7.031,6.817,-1.954,1
-4.978,-1.906,-8.578,-7.160,6.832,-1.603,1
-4.903,-1.968,-8.483,-7.282,6.695,-1.366,1
-4.968,-1.925,-8.552,-7.000,6.878,-2.008,1
-4.930,-1.937,-8.490,-7.229,6.664,-1.626,1
-5.011,-1.925,-8.564,-7.130,6.725,-1.710,1
-4.927,-1.970,-8.535,-7.069,6.718,-1.847,1
-4.978,-1.958,-8.538,-7.252,6.656,-1.588,1
-4.956,-1.939,-8.540,-7.191,6.725,-1.679,1
-4.946,-1.935,-8.526,-7.000,6.832,-1.947,1
-4.906,-1.961,-8.526,-7.305,6.748,-1.496,1
-4.946,-1.937,-8.468,-7.153,6.756,-1.802,1
-4.922,-1.944,-8.641,-7.191,6.733,-1.748,1
-4.975,-1.956,-8.543,-7.084,6.779,-1.756,1
-4.932,-1.927,-8.545,-7.229,6.840,-1.748,1
-4.956,-1.994,-8.487,-7.145,6.634,-1.725,1
-4.973,-1.927,-8.566,-7.183,6.779,-1.840,1
-4.901,-1.963,-8.401,-7.244,6.649,-1.359,1
-4.994,-1.935,-8.502,-7.069,6.740,-1.939,1
-4.906,-1.990,-8.466,-7.061,6.817,-1.878,1
-4.980,-1.925,-8.523,-7.183,6.763,-1.626,1
-4.958,-2.014,-8.466,-7.206,6.748,-1.679,1
-5.016,-1.896,-8.559,-7.107,6.664,-1.603,1
-4.901,-1.942,-8.487,-7.160,6.687,-1.603,1
-4.934,-1.927,-8.564,-7.137,6.763,-1.916,1
-4.944,-1.968,-8.480,-7.023,6.824,-1.931,1
-4.958,-1.915,-8.569,-7.305,6.634,-1.496,1
-4.901,-1.942,-8.550,-7.191,6.740,-1.611,1
-4.973,-1.867,-8.588,-7.015,6.832,-1.916,1
-4.908,-1.992,-8.514,-7.130,6.771,-1.710,1
-4.987,-1.927,-8.521,-7.267,6.672,-1.573,1
