ax,ay,az,gx,gy,gz,cls
-4.654,1.575,0.828,-115.313,-206.183,-187.641,2
-12.744,0.594,-3.876,166.420,187.641,153.458,2
-10.688,3.203,-2.291,-17.412,-115.183,-80.733,2
-1.496,-10.250,0.139,-83.634,49.198,87.664,2
-13.194,0.690,-5.760,151.031,36.916,65.756,2
-7.537,-0.807,1.233,-177.641,-110.336,-120.664,2
-10.333,-4.175,-3.417,161.672,228.267,70.740,2
-6.155,6.115,0.601,-90.817,-202.443,-164.947,2
-5.878,-10.891,-5.004,22.168,193.901,159.847,2
-15.139,13.149,-12.977,57.534,-79.710,-77.275,2
-4.278,-13.032,-3.792,-41.252,116.794,159.618,2
-13.439,13.111,-14.772,165.550,-113.817,39.389,2
6.498,-19.613,-2.919,-176.580,30.115,-42.466,2
-13.362,8.854,-11.471,167.069,-118.656,117.588,2
6.455,-17.032,1.209,-245.542,-69.962,-121.771,2
-14.016,0.792,-9.041,227.672,71.656,176.221,2
-0.967,-0.180,1.405,-250.137,-5.855,-143.924,2
-10.072,-3.699,-8.533,106.229,79.176,171.183,2
-7.049,10.276,-4.343,-32.679,64.992,-133.420,2
-7.841,-8.315,-5.945,-8.176,105.893,161.786,2
-9.675,16.388,-15.591,28.641,-53.160,6.954,2
0.053,-10.118,-2.626,-120.756,69.870,4.244,2
-7.386,3.819,-11.770,74.588,-23.679,178.458,2
-1.590,-0.936,0.409,-188.977,-152.725,-211.504,2
-9.852,-2.787,-7.999,50.008,94.328,169.275,2
-7.405,11.236,-8.143,-4.427,-52.626,-64.336,2
-4.307,-9.455,-4.343,-78.031,100.481,86.450,2
-10.321,10.190,-12.043,91.863,-126.878,149.160,2
-3.840,7.757,-3.632,-66.534,0.931,-175.435,2
-4.401,-9.740,-5.112,-36.275,80.695,152.824,2
-9.529,11.210,-12.771,50.344,-106.580,127.382,2
-2.495,-2.454,1.690,-130.130,-95.565,-226.947,2
-12.292,-0.086,-8.686,153.626,57.435,181.573,2
-7.714,10.072,-2.952,-18.130,34.260,-129.153,2
-3.299,-9.057,-5.265,-87.603,80.595,111.947,2
-10.721,9.316,-10.499,109.229,-92.053,189.031,2
-4.293,5.892,0.713,-220.031,-250.137,-172.702,2
-9.697,-10.046,-2.088,64.565,219.076,219.107,2
-11.116,12.349,-8.418,32.985,6.718,-95.473,2
1.003,-10.889,-3.405,-160.366,27.099,101.267,2
-10.432,6.172,-11.169,194.710,-65.450,163.878,2
-10.223,4.594,3.213,-138.076,-47.809,-193.366,2
-7.669,-5.270,-5.942,19.542,124.420,148.466,2
-11.138,12.198,-7.707,47.183,-72.840,5.649,2
-1.008,-10.762,2.112,-136.290,-31.504,-78.244,2
-13.855,2.361,-7.233,204.237,-7.931,159.130,2
-1.425,9.548,-1.738,-63.206,-74.450,-177.489,2
-6.457,-9.373,-2.332,-102.397,144.069,99.718,2
-8.796,8.234,-10.025,116.374,-127.420,153.282,2
-3.668,5.253,-0.481,-178.023,-250.137,-184.084,2
-7.108,-4.846,-6.179,31.649,237.794,250.130,2
-8.013,11.224,-7.271,40.885,-126.130,-37.687,2
-1.504,-4.266,-1.111,-174.466,-13.626,-209.527,2
-10.132,3.479,-8.102,113.679,-64.573,149.099,2
-2.871,11.090,-6.122,6.244,-72.092,-224.992,2
-7.254,-5.325,-2.588,-77.282,53.565,47.542,2
-9.328,6.998,-6.594,169.634,13.496,138.359,2
-6.579,13.788,-1.372,-78.351,-100.466,-192.206,2
-4.662,-8.950,-4.180,-55.053,183.855,144.947,2
-12.407,11.820,-9.352,68.489,-100.557,205.626,2
-5.143,3.754,1.633,-197.046,34.351,-161.206,2
-8.978,-1.623,-7.309,76.260,216.794,236.748,2
3.309,18.057,-10.439,58.603,-250.137,-191.901,2
