ax,ay,az,gx,gy,gz,cls
-5.013,-3.072,-8.045,-7.115,6.763,-1.702,1
-5.114,-3.163,-8.071,-7.122,6.763,-1.641,1
-5.042,-3.055,-8.009,-7.099,6.679,-1.748,1
-5.128,-3.132,-8.028,-7.053,6.725,-1.679,1
-5.109,-3.103,-8.073,-7.107,6.779,-1.847,1
-5.107,-3.136,-8.013,-7.107,6.687,-1.565,1
-5.097,-3.029,-8.035,-7.153,6.664,-1.740,1
-5.131,-3.158,-8.068,-7.237,6.779,-1.687,1
-5.116,-3.112,-8.028,-7.053,6.733,-1.908,1
-5.095,-3.146,-8.131,-7.137,6.718,-1.649,1
-5.088,-3.136,-8.080,-7.130,6.794,-1.695,1
-5.080,-3.117,-8.045,-7.176,6.786,-1.733,1
-5.126,-3.077,-7.999,-7.137,6.710,-1.649,1
-5.073,-3.129,-8.045,-7.176,6.779,-1.496,1
-5.143,-3.120,-8.090,-7.046,6.779,-1.756,1
-5.049,-3.127,-8.052,-7.061,6.687,-1.733,1
-5.133,-3.158,-8.121,-7.069,6.786,-1.718,1
-5.066,-3.103,-8.095,-7.122,6.733,-1.733,1
-5.174,-3.168,-8.030,-7.160,6.641,-1.519,1
-5.033,-3.079,-8.047,-7.137,6.710,-1.695,1
-5.176,-3.175,-8.045,-7.122,6.725,-1.710,1
-5.066,-3.086,-8.128,-7.168,6.786,-1.763,1
-5.121,-3.103,-8.030,-7.107,6.687,-1.702,1
-5.107,-3.117,-8.059,-7.084,6.672,-1.664,1
-5.133,-3.115,-8.042,-7.023,6.802,-1.870,1
-5.088,-3.100,-8.083,-7.145,6.649,-1.580,1
-5.155,-3.151,-8.090,-7.092,6.748,-1.740,1
-5.069,-3.086,-8.109,-7.137,6.779,-1.695,1
-5.143,-3.134,-8.013,-7.176,6.656,-1.519,1
-5.049,-3.115,-8.047,-7.145,6.710,-1.779,1
-5.112,-3.160,-8.088,-6.969,6.779,-1.748,1
-5.078,-3.103,-8.085,-7.031,6.771,-1.725,1
-5.119,-3.127,-8.028,-7.237,6.710,-1.527,1
