ax,ay,az,gx,gy,gz,cls
-4.681,-3.510,-8.135,-7.206,6.779,-1.573,1
-4.731,-3.534,-8.128,-7.130,6.809,-2.053,0
-4.748,-3.572,-8.109,-7.099,6.710,-1.740,0
-4.654,-3.536,-8.090,-7.206,6.710,-1.427,0
-4.721,-3.541,-8.097,-7.046,6.794,-2.053,0
-4.709,-3.491,-8.147,-7.099,6.725,-1.817,0
-4.724,-3.558,-8.119,-7.130,6.702,-1.527,0
-4.721,-3.510,-8.109,-7.221,6.786,-1.771,0
-4.729,-3.527,-8.095,-7.046,6.893,-1.809,0
-4.755,-3.546,-8.155,-7.237,6.687,-1.573,0
-4.709,-3.512,-8.073,-7.160,6.748,-1.740,0
-4.736,-3.555,-8.138,-7.130,6.832,-1.870,0
-4.709,-3.519,-8.135,-7.130,6.779,-1.740,0
-4.757,-3.567,-8.052,-7.206,6.702,-1.588,0
-4.688,-3.531,-8.143,-7.115,6.824,-1.863,0
-4.707,-3.596,-8.083,-7.099,6.718,-1.679,0
-4.719,-3.560,-8.064,-7.229,6.672,-1.687,0
-4.690,-3.570,-8.159,-7.160,6.740,-1.718,0
-4.733,-3.522,-8.090,-7.099,6.756,-1.771,0
-4.717,-3.534,-8.061,-7.183,6.733,-1.656,0
-4.750,-3.527,-8.116,-7.153,6.771,-1.664,1
-4.659,-3.546,-8.095,-7.137,6.748,-1.687,1
-4.769,-3.579,-8.119,-7.176,6.779,-1.794,1
-4.693,-3.543,-8.114,-7.153,6.710,-1.786,1
-4.745,-3.565,-8.080,-7.092,6.748,-1.580,1
-4.721,-3.508,-8.135,-7.084,6.786,-1.908,1
-4.736,-3.589,-8.167,-7.099,6.802,-1.840,1
-4.721,-3.531,-8.045,-7.176,6.595,-1.626,1
-4.685,-3.570,-8.102,-7.061,6.695,-1.656,1
-4.702,-3.577,-8.100,-7.046,6.809,-1.916,1
-4.693,-3.582,-8.114,-7.137,6.733,-1.626,1
-4.764,-3.565,-8.080,-7.145,6.763,-1.656,1
-4.695,-3.531,-8.128,-7.076,7.015,-2.069,1
-4.717,-3.589,-8.047,-7.023,6.695,-1.817,1
-4.697,-3.498,-8.102,-7.122,6.687,-1.740,1
-4.738,-3.594,-8.104,-7.145,6.870,-1.779,1
