ax,ay,az,gx,gy,gz,cls
94,-1.434,-8.897,-7.092,6.618,-1.885,1
-4.456,-1.393,-8.856,-7.160,6.496,-1.672,1
-4.523,-1.410,-8.921,-7.038,6.511,-1.809,1
-4.484,-1.448,-8.784,-7.015,6.588,-1.824,1
-4.511,-1.401,-8.839,-7.061,6.611,-1.802,1
-4.496,-1.463,-8.760,-7.115,6.595,-1.824,1
-4.489,-1.437,-8.880,-7.107,6.626,-1.786,1
-4.496,-1.434,-8.820,-6.924,6.702,-2.145,1
-4.554,-1.417,-8.835,-7.069,6.496,-1.809,1
-4.475,-1.403,-8.844,-7.053,6.542,-1.695,1
-4.511,-1.458,-8.906,-7.023,6.679,-1.878,1
-4.487,-1.420,-8.818,-7.099,6.458,-1.832,1
-4.561,-1.468,-8.801,-6.985,6.588,-1.870,1
-4.515,-1.470,-8.887,-7.031,6.603,-1.878,1
-4.566,-1.434,-8.887,-7.107,6.527,-1.824,1
-4.518,-1.420,-8.830,-7.137,6.565,-1.664,1
-4.484,-1.417,-8.863,-7.038,6.550,-1.824,1
-4.492,-1.439,-8.796,-7.046,6.649,-1.855,1
-4.520,-1.410,-8.748,-7.092,6.611,-1.947,1
-4.520,-1.456,-8.868,-7.061,6.595,-1.802,1
-4.515,-1.451,-8.818,-7.115,6.443,-1.679,1
-4.527,-1.437,-8.904,-7.084,6.664,-1.824,1
-4.499,-1.410,-8.844,-7.237,6.573,-1.672,1
-4.554,-1.417,-8.868,-7.122,6.534,-1.832,1
-4.515,-1.393,-8.842,-7.145,6.458,-1.473,1
-4.530,-1.410,-8.835,-7.107,6.542,-1.664,1
-4.501,-1.425,-8.801,-7.061,6.618,-1.733,1
-4.556,-1.446,-8.878,-7.107,6.580,-1.855,1
-4.492,-1.381,-8.842,-7.092,6.542,-1.794,1
-4.554,-1.413,-8.825,-7.069,6.626,-1.954,1
-4.470,-1.470,-8.792,-7.038,6.489,-1.931,1
-4.544,-1.437,-8.880,-7.115,6.519,-1.748,1
-4.525,-1.446,-8.825,-6.969,6.618,-1.870,1
-4.532,-1.458,-8.875,-7.160,6.542,-1.626,1
-4.463,-1.413,-8.911,-7.023,6.641,-1.870,1
-4.523,-1.425,-8.866,-7.023,6.481,-1.817,1
-4.489,-1.439,-8.873,-6.977,6.626,-1.962,1
-4.539,-1.427,-8.851,-7.000,6.527,-1.855,1
-4.480,-1.432,-8.897,-7.061,6.603,-1.863,1
-4.487,-1.448,-8.916,-7.076,6.595,-1.832,1
-4.484,-1.460,-8.844,-7.046,6.595,-1.954,1
-4.535,-1.425,-8.859,-7.153,6.504,-1.626,1
-4.518,-1.410,-8.868,-7.084,6.702,-1.855,1
-4.513,-1.396,-8.897,-7.160,6.466,-1.718,1
-4.503,-1.432,-8.878,-7.053,6.695,-1.992,1
-4.518,-1.422,-8.832,-7.145,6.504,-1.649,1
-4.494,-1.422,-8.868,-7.008,6.573,-1.725,1
-4.503,-1.405,-8.875,-7.000,6.580,-1.908,1
-4.492,-1.413,-8.868,-7.153,6.466,-1.687,1
-4.508,-1.398,-8.806,-7.069,6.634,-1.786,1
-4.499,-1.391,-8.918,-7.038,6.565,-1.779,1
-4.492,-1.453,-8.882,-7.053,6.588,-1.756,1
-4.535,-1.446,-8.854,-7.061,6.519,-1.779,1
-4.530,-1.453,-8.792,-7.053,6.542,-1.748,1
-4.494,-1.439,-8.863,-7.069,6.595,-1.809,1
-4.496,-1.408,-8.806,-7.099,6.481,-1.748,1
-4.484,-1.427,-8.835,-6.977,6.695,-2.069,1
-4.506,-1.413,-8.873,-7.092,6.489,-1.710,1
-4.508,-1.451,-8.880,-7.023,6.634,-1.832,1
-4.477,-1.446,-8.863,-7.023,6.519,-1.855,1
-4.563,-1.429,-8.868,-7.099,6.511,-1.611,1
-4.508,-1.468,-8.837,-6.985,6.595,-1.832,1
-4.482,-1.439,-8.942,-7.092,6.534,-1.779,1
-4.503,-1.427,-8.854,-6.794,6.282,-2.611,1
-4.527,-1.437,-8.894,-7.435,6.229,-0.901,1
-4.508,-1.432,-8.777,-6.840,6.802,-2.160,1
-4.518,-1.405,-8.875,-7.198,6.405,-1.565,1
-4.487,-1.427,-8.782,-6.969,6.588,-1.878,1
-4.549,-1.432,-8.911,-7.076,6.611,-1.878,1
-4.559,-1.420,-8.775,-7.809,5.641,0.267,1
-4.506,-1.446,-8.882,-6.641,7.351,-2.794,1
-4.537,-1.432,-8.885,-7.122,6.374,-1.588,1
-4.554,-1.429,-8.861,-7.023,6.435,-1.779,1
-4.499,-1.425,-8.861,-7.023,6.626,-1.824,1
-4.544,-1.432,-8.868,-7.237,6.366,-1.450,1
-4.523,-1.448,-8.741,-7.038,6.550,-1.710,1
-4.530,-1.458,-8.923,-7.099,6.603,-1.763,1
-4.501,-1.391,-8.842,-7.061,6.550,-1.924,1
-4.530,-1.427,-8.825,-6.924,6.687,-2.008,1
-4.527,-1.446,-8.827,-7.008,6.626,-1.901,1
-4.511,-1.451,-8.882,-7.168,6.435,-1.534,1
-4.539,-1.413,-8.863,-7.008,6.534,-1.626,1
-4.501,-1.401,-8.878,-6.992,6.588,-1.863,1
-4.484,-1.465,-8.813,-7.061,6.565,-1.794,1
-4.530,-1.425,-8.794,-7.107,6.588,-1.664,1
-4.532,-1.403,-8.832,-6.947,6.656,-2.061,1
-4.520,-1.451,-8.815,-6.939,6.672,-1.954,1
-4.527,-1.441,-8.885,-7.191,6.481,-1.511,1
