ax,ay,az,gx,gy,gz,cls
-9.606,-0.658,1.647,-6.595,7.656,-4.740,1
-9.665,-0.522,1.707,-6.824,6.595,-0.962,1
-9.668,-0.467,1.844,-7.389,4.962,-1.580,1
-9.665,-0.532,1.832,-7.282,7.756,0.130,1
-9.538,-0.505,1.729,-7.267,7.771,-1.687,1
-9.589,-0.254,1.779,-6.954,4.977,-0.374,1
-9.639,-0.419,1.884,-6.649,8.290,-1.031,1
-9.574,-0.381,1.939,-6.198,4.840,-1.015,1
-9.606,-0.153,1.846,2.000,8.611,9.718,1
-9.584,-0.012,1.946,-6.733,3.176,-4.244,1
-9.610,-0.182,1.966,-3.725,6.420,5.916,1
-9.500,-0.096,1.504,7.427,-1.115,11.198,1
-8.758,-1.657,0.555,68.405,2.313,55.260,1
-7.355,4.810,0.089,170.275,-17.267,-8.832,1
-7.278,6.000,-0.484,-8.000,-32.031,0.641,2
-8.717,-2.337,0.254,-134.687,-29.695,-45.824,2
-8.741,-4.187,2.643,-104.168,-79.412,42.344,2
-9.790,-4.027,1.061,-55.000,23.351,5.702,2
-9.165,-4.065,0.642,-5.809,26.237,-3.748,2
-9.385,-3.256,0.781,56.328,7.084,21.763,2
-7.975,-3.809,-0.618,159.198,14.664,63.786,2
-13.235,7.537,-1.549,114.046,60.069,63.779,2
-9.416,0.821,-0.733,-30.290,48.282,-56.214,2
-8.454,-0.512,-1.334,-46.115,-48.267,-47.260,2
-8.964,-2.356,-0.062,-37.092,12.298,-34.496,2
-9.043,-2.861,0.290,-20.885,-8.244,-12.374,2
-10.099,-2.813,0.306,17.160,4.359,15.145,2
-9.234,-0.800,-0.790,140.412,77.053,136.519,2
-9.622,1.159,1.446,116.206,-42.954,150.954,2
-10.556,6.438,-4.166,73.305,41.748,72.107,2
-10.731,5.930,-1.523,-10.626,35.069,-35.130,2
-9.002,2.392,-1.549,-41.008,41.695,-82.130,2
-8.882,0.321,-2.030,-54.870,-20.267,-40.649,2
-9.641,-0.666,-0.297,-26.779,-43.145,-18.794,2
-9.316,-1.374,-0.194,-31.137,-2.962,-32.489,2
-6.898,-7.072,0.486,56.206,57.099,9.863,2
-11.595,8.677,-2.928,81.817,82.084,59.817,2
-9.814,5.449,-2.892,-25.023,30.992,-38.351,2
-10.077,3.589,-1.259,-37.382,51.382,-61.733,2
-9.163,2.454,-1.915,-64.137,3.702,-85.924,2
-9.756,2.923,-0.304,-77.366,-12.351,-97.092,2
-9.129,-0.464,-1.099,-69.763,59.061,-88.298,4
-9.431,-1.202,-1.489,-55.435,30.504,-90.489,4
-8.758,-2.258,-1.398,-51.595,-67.725,-66.229,4
-9.718,-3.057,-0.474,-34.336,-9.466,-48.916,4
-8.952,-3.256,-0.464,-22.206,-26.947,-24.336,4
-8.914,-3.146,-0.433,-9.160,-30.641,-2.206,4
-9.380,-3.632,-0.120,3.473,4.107,10.290,0
-9.019,-5.452,0.160,32.466,-13.710,25.260,0
-5.547,-5.588,-0.199,159.252,-107.092,194.092,0
-10.515,4.843,0.383,182.221,32.595,144.122,0
-12.538,8.710,-0.577,63.832,33.336,20.008,0
-10.214,4.444,0.235,-0.679,23.954,-26.794,0
-9.926,3.053,-0.115,-33.153,-12.802,-11.679,2
-10.530,3.158,-0.393,-57.565,38.672,-66.466,2
-8.811,0.484,-0.409,-70.893,64.275,-86.252,2
-8.703,-1.195,-0.634,-82.580,25.099,-86.786,2
-9.708,-1.834,0.113,-56.893,-27.214,-53.802,2
