ax,ay,az,gx,gy,gz,cls
-3.021,-2.286,-5.880,-71.504,15.321,20.550,0
-6.503,-4.566,-8.624,0.374,-8.794,-39.321,0
-5.643,-1.520,-7.764,-14.412,18.481,13.924,2
-5.607,-0.950,-8.377,-7.122,-6.458,29.122,2
-5.669,-0.682,-7.992,-1.710,4.542,14.359,2
-5.825,-2.382,-7.724,-21.389,-7.412,6.412,2
-5.710,-0.204,-7.338,-11.435,4.099,3.237,2
-6.407,-0.510,-7.829,-14.748,-12.664,-20.794,2
-6.728,-0.469,-7.547,-9.588,-2.603,-13.695,2
-7.125,-0.850,-7.647,-14.115,18.534,25.137,0
-5.772,-1.338,-7.226,-22.183,-24.023,-16.038,0
-6.776,-2.224,-7.355,-17.977,-9.573,-16.611,0
-7.214,-1.712,-7.159,-10.137,21.382,3.702,0
-6.553,-1.369,-7.422,-10.099,7.527,-3.481,0
-6.862,-2.121,-7.535,-6.618,6.115,-3.565,0
-6.891,-1.798,-7.235,-10.313,7.779,-4.160,0
-6.495,-1.604,-7.207,-10.359,9.221,3.435,0
-6.886,-1.693,-7.482,-8.565,7.168,-1.282,0
-6.572,-1.542,-7.345,-8.641,6.405,4.260,0
-6.574,-1.697,-7.417,-8.008,7.847,-1.008,0
-6.814,-1.812,-7.468,-8.153,7.038,1.725,0
-6.404,-1.741,-7.305,-5.053,5.336,-5.824,0
-6.299,-1.693,-7.329,-4.412,6.336,-4.168,0
-6.613,-1.611,-7.506,-7.176,7.053,-0.809,0
-6.498,-1.743,-7.386,-7.687,8.229,0.000,0
-6.697,-1.717,-7.393,-8.076,7.260,-0.389,0
-6.527,-1.669,-7.422,-8.725,8.137,0.160,1
-6.649,-1.848,-7.647,-1.588,16.160,-3.214,1
-5.341,-1.695,-7.331,4.779,4.893,-16.924,1
-6.091,-2.892,-7.441,16.794,-3.298,2.870,1
-5.789,-3.359,-6.055,30.397,6.359,-18.916,1
-6.785,-4.171,-7.094,21.489,13.282,-19.466,2
-7.776,-2.452,-7.166,-29.275,-12.580,41.000,2
-8.279,-2.334,-7.523,-2.740,-0.275,-0.756,2
-2.528,-0.821,-1.657,-58.420,-244.260,-62.832,2
-9.191,-7.968,-7.726,-6.947,141.771,130.359,2
-8.016,-4.585,-7.793,107.985,121.389,33.916,2
-11.334,2.425,-5.502,18.359,-106.595,11.885,2
-3.321,-5.284,-2.025,-36.427,-36.107,-112.313,2
-5.715,-5.538,-7.693,-139.672,127.221,87.206,2
-7.570,-1.444,-9.172,139.626,2.756,48.908,2
-10.772,3.124,-4.937,-46.260,-120.282,26.725,2
-1.113,-8.732,-4.049,-205.649,21.290,-8.977,2
-9.170,-3.400,-9.938,105.000,124.885,131.588,2
-9.273,0.766,-6.958,118.076,-20.466,-10.786,2
-5.962,2.167,-2.744,-149.763,-83.275,-68.130,2
-9.067,-8.217,-9.294,-142.870,142.908,97.748,2
-7.080,-1.099,-9.541,213.855,-40.389,-14.305,2
-10.106,2.576,-6.977,-42.504,-94.573,97.603,2
-3.737,-6.476,-2.507,-67.275,-37.809,-250.137,2
-11.576,-5.710,-8.753,-89.092,47.321,184.191,2
-7.487,3.488,-5.995,35.015,-51.107,123.115,2
-4.113,0.443,-1.178,-33.397,37.481,52.206,2
-8.260,9.052,-10.171,2.229,76.603,-74.519,2
-7.022,-3.402,-8.452,-25.962,-102.649,-250.137,2
-4.152,-8.162,-2.102,46.038,-10.786,133.985,2
-7.077,11.286,-3.194,76.794,99.595,236.023,2
-6.740,5.947,-8.282,-2.489,47.786,-137.893,2
-7.791,-6.443,-6.129,-80.137,-138.145,-166.794,2
-1.571,2.100,0.335,36.878,-19.763,250.130,2
-8.511,11.873,-8.964,33.000,82.634,-16.023,2
-6.730,-2.318,-6.012,-96.534,-98.244,-250.137,2
-6.024,-10.077,-3.280,-0.412,-34.511,121.031,2
-5.394,8.140,-1.116,195.092,143.229,164.802,2
-7.420,7.824,-9.816,16.901,36.779,-168.076,2
-5.775,-7.781,-6.117,-83.435,-121.328,-217.595,2
-4.741,-1.870,0.227,14.458,-7.366,250.130,2
-8.258,9.790,-8.365,-0.389,109.206,103.412,2
-5.825,0.742,-7.980,-32.084,-90.885,-230.229,2
-4.724,-9.682,-5.148,26.977,-48.649,-119.504,2
-5.397,8.552,-3.079,204.565,144.718,176.137,2
-8.732,4.987,-8.629,3.214,39.748,-164.550,2
-4.937,-9.771,-7.058,-77.802,-37.832,-148.023,2
-2.713,1.750,-1.757,20.099,-132.137,250.130,2
-8.533,13.623,-7.997,-17.237,97.870,-102.855,2
-2.274,-6.546,-12.371,-2.992,-96.008,-250.137,2
-5.784,-6.823,-4.020,33.588,-107.221,105.252,2
-6.505,8.827,-5.310,21.130,84.977,164.725,2
-8.243,1.932,-7.190,23.779,31.015,-233.725,2
-6.955,-7.705,-7.479,2.489,-12.626,-25.328,2
-3.287,3.658,-0.141,13.221,-82.435,190.389,2
-8.497,8.674,-7.374,35.061,85.962,-97.069,2
-5.626,-7.954,-5.918,-116.725,-216.076,-249.366,2
-6.354,-4.264,-1.355,6.832,-60.519,250.130,2
-9.371,8.973,-5.801,147.344,179.221,29.748,2
-8.641,1.367,-9.002,5.588,19.321,-224.901,2
-1.554,-11.988,-3.941,6.710,-53.115,89.527,2
-9.448,7.324,-1.334,-28.771,25.015,120.901,2
-8.722,5.162,-5.624,-28.901,60.344,-225.160,2
-3.936,-12.644,-8.226,-18.496,-0.046,-60.695,2
-4.709,9.627,-5.286,88.511,-88.137,250.130,2
-7.013,10.324,-7.274,49.298,85.176,-189.244,2
-0.283,-6.536,-6.285,-177.046,-212.092,-250.137,2
-8.009,-7.568,-5.397,63.733,100.183,250.130,2
-5.593,8.437,-8.344,41.053,-50.260,184.237,2
-8.868,1.535,-4.599,-23.817,12.550,-250.137,2
-1.822,-4.975,-3.244,-85.634,-25.000,-51.130,2
-11.408,-3.898,-10.264,-33.473,179.565,250.130,2
-6.189,6.943,-8.677,77.000,-88.237,66.382,2
-2.940,-1.539,-1.027,-76.450,13.779,-157.534,2
-17.250,9.917,-19.613,-97.725,145.786,250.130,2
