ax,ay,az,gx,gy,gz,cls
-4.317,-5.693,-7.046,-7.130,6.634,-1.580,1
-4.195,-5.732,-7.075,-7.260,6.450,-1.359,1
-4.298,-5.698,-7.029,-6.840,6.840,-2.565,1
-4.238,-5.727,-7.017,-7.351,6.534,-1.183,1
-4.286,-5.674,-7.058,-7.092,6.702,-1.710,1
-4.219,-5.710,-7.010,-6.947,6.817,-2.099,1
-4.226,-5.674,-7.041,-7.053,6.870,-2.160,1
-4.271,-5.722,-7.027,-7.260,6.603,-1.069,1
-4.235,-5.669,-7.003,-7.298,6.603,-1.069,1
-4.266,-5.725,-7.020,-6.870,6.618,-2.267,1
-4.266,-5.677,-7.032,-7.092,6.740,-1.992,1
-4.259,-5.727,-7.037,-7.130,6.695,-1.817,1
-4.247,-5.662,-7.053,-6.939,6.878,-2.206,1
-4.231,-5.686,-6.996,-7.023,6.618,-1.687,1
-4.243,-5.646,-7.092,-7.229,6.656,-1.382,1
-4.195,-5.777,-7.113,-7.084,6.550,-1.802,1
-4.262,-5.669,-7.056,-6.863,6.794,-2.374,1
-4.254,-5.713,-7.082,-7.076,6.695,-1.649,1
-4.243,-5.713,-6.989,-7.046,6.580,-1.672,1
-4.221,-5.720,-7.039,-7.076,6.634,-1.824,1
-4.243,-5.696,-7.089,-6.908,6.771,-2.122,1
-4.219,-5.691,-7.015,-7.519,6.473,-0.565,1
-4.211,-5.758,-7.065,-6.893,6.748,-2.397,1
-4.254,-5.684,-7.065,-6.916,6.725,-2.504,1
-4.274,-5.693,-7.070,-7.321,6.481,-0.939,1
-4.207,-5.693,-7.068,-7.153,6.603,-1.756,1
-4.243,-5.734,-7.070,-6.878,6.771,-2.382,1
-4.221,-5.660,-6.993,-6.992,6.794,-2.023,1
-4.243,-5.715,-7.087,-7.145,6.481,-1.489,1
-4.245,-5.638,-7.072,-7.282,6.527,-1.153,1
-4.195,-5.737,-7.034,-6.794,6.740,-2.550,1
-4.202,-5.748,-7.015,-6.931,6.817,-2.214,1
-4.238,-5.756,-7.053,-6.840,6.756,-2.466,1
-4.216,-5.669,-6.996,-7.282,6.679,-1.382,1
-4.250,-5.705,-7.017,-7.084,6.580,-1.771,1
-4.238,-5.689,-7.020,-6.977,6.794,-2.366,1
-4.245,-5.739,-7.046,-7.206,6.603,-1.405,1
-4.238,-5.660,-7.046,-7.160,6.588,-1.473,1
-4.209,-5.701,-6.993,-7.053,6.679,-1.969,1
-4.257,-5.698,-7.041,-6.962,6.664,-1.817,1
-4.214,-5.693,-6.981,-7.099,6.573,-1.702,1
-4.276,-5.708,-7.008,-6.931,6.718,-2.092,1
-4.228,-5.703,-7.051,-7.046,6.756,-1.863,1
-4.259,-5.713,-7.051,-6.931,6.672,-2.214,1
-4.216,-5.669,-7.044,-7.290,6.794,-1.137,1
-4.243,-5.717,-7.015,-7.336,6.580,-1.168,1
