ax,ay,az,gx,gy,gz,cls
-4.800,-0.443,-8.868,-6.969,6.763,-2.008,1
-4.803,-0.462,-8.789,-7.229,6.611,-1.786,1
-4.772,-0.421,-8.823,-7.313,6.557,-1.397,1
-4.827,-0.429,-8.777,-7.191,6.588,-1.542,1
-4.784,-0.405,-8.825,-6.985,6.847,-1.924,1
-4.808,-0.421,-8.808,-7.099,6.656,-1.649,1
-4.817,-0.448,-8.789,-7.198,6.527,-1.412,1
-4.762,-0.445,-8.863,-7.252,6.534,-1.443,1
-4.855,-0.448,-8.825,-7.008,6.611,-1.794,1
-4.836,-0.464,-8.827,-7.092,6.748,-1.931,1
-4.810,-0.503,-8.863,-6.947,6.702,-1.893,1
-4.808,-0.467,-8.813,-7.046,6.679,-1.870,1
-4.793,-0.460,-8.758,-7.046,6.695,-1.824,1
-4.824,-0.433,-8.808,-7.145,6.618,-1.649,1
-4.810,-0.436,-8.818,-7.214,6.641,-1.466,1
-4.808,-0.419,-8.875,-7.137,6.656,-1.641,1
-4.784,-0.496,-8.851,-7.099,6.679,-1.710,1
-4.815,-0.441,-8.784,-7.076,6.550,-1.725,1
-4.798,-0.457,-8.794,-7.099,6.718,-1.718,1
-4.815,-0.400,-8.842,-7.176,6.702,-1.817,1
-4.779,-0.431,-8.880,-7.145,6.718,-1.924,1
-4.803,-0.464,-8.782,-7.130,6.756,-1.992,1
-4.786,-0.429,-8.837,-7.115,6.649,-1.702,1
-4.762,-0.448,-8.772,-7.153,6.672,-1.626,1
-4.793,-0.397,-8.808,-6.954,6.786,-2.122,1
-4.767,-0.436,-8.806,-7.122,6.695,-1.893,1
-4.784,-0.431,-8.794,-7.099,6.649,-1.595,1
-4.791,-0.450,-8.808,-7.099,6.611,-1.809,1
-4.800,-0.448,-8.794,-7.084,6.718,-1.908,1
-4.800,-0.464,-8.780,-7.229,6.695,-1.779,1
-4.827,-0.481,-8.815,-7.206,6.626,-1.580,1
-4.788,-0.484,-8.861,-7.160,6.702,-1.748,1
-4.788,-0.479,-8.789,-6.939,6.809,-2.160,1
-4.798,-0.441,-8.825,-7.214,6.580,-1.695,1
-4.812,-0.457,-8.815,-7.214,6.611,-1.580,1
