ax,ay,az,gx,gy,gz,cls
899,0.144,-8.085,-7.115,6.748,-1.794,1
-5.861,0.065,-8.064,-7.107,6.679,-1.710,1
-5.737,0.002,-8.217,-5.427,8.000,-2.832,1
-5.895,0.148,-8.021,-6.786,6.763,-1.985,1
-5.928,0.163,-8.112,-6.695,5.611,-1.962,1
-5.827,0.163,-8.174,-7.244,6.771,-1.634,1
-5.911,0.160,-8.104,-7.053,6.374,-1.779,1
-5.911,0.156,-8.143,-7.122,6.557,-1.725,1
-5.885,0.103,-8.169,-7.176,6.763,-1.679,1
-5.909,0.211,-8.167,-7.137,6.809,-1.756,1
-5.830,0.136,-8.114,-7.137,6.626,-1.817,1
-5.859,0.144,-8.183,-6.954,6.725,-1.863,1
-5.906,0.172,-8.054,-6.916,5.779,-1.840,1
-5.866,0.170,-8.159,-6.992,6.260,-1.840,1
-5.851,0.081,-8.155,-7.153,6.977,-1.756,1
-5.906,0.211,-8.112,-6.107,6.817,-2.466,1
-5.940,0.261,-8.064,-6.901,4.641,-1.763,1
-5.825,0.091,-8.107,-6.939,6.275,-1.893,1
-5.866,0.160,-8.104,-7.305,7.107,-1.595,1
-5.830,0.132,-8.064,-7.008,6.695,-1.817,1
-5.895,0.165,-8.176,-7.130,6.611,-1.794,1
-5.856,0.144,-8.068,-7.145,6.634,-1.779,1
-5.851,0.165,-8.056,-7.092,6.580,-1.763,1
-5.856,0.122,-8.085,-7.099,6.534,-1.809,1
-5.921,0.165,-8.169,-7.099,6.588,-1.718,1
-5.868,0.136,-8.147,-7.130,6.679,-1.824,1
-5.832,0.122,-8.147,-7.084,6.527,-1.763,1
-5.861,0.182,-8.155,-7.191,6.702,-1.725,1
-5.825,0.139,-8.133,-7.115,6.763,-1.779,1
-5.854,0.192,-8.107,-7.145,6.710,-1.718,1
-5.851,0.144,-8.147,-7.153,6.656,-1.832,1
-5.861,0.184,-8.150,-7.092,6.740,-1.672,1
-5.854,0.160,-8.104,-7.160,6.641,-1.763,1
-5.883,0.180,-8.085,-7.107,6.695,-1.771,1
-5.839,0.105,-8.085,-7.076,6.634,-1.786,1
-5.899,0.184,-8.135,-7.115,6.710,-1.718,1
