ax,ay,az,gx,gy,gz,cls
-5.171,-1.621,-8.435,-7.076,6.565,-1.382,1
-5.136,-1.528,-8.444,-6.832,6.809,-2.336,1
-5.193,-1.597,-8.521,-6.985,6.656,-1.931,1
-5.114,-1.571,-8.442,-7.099,6.603,-1.817,1
-5.145,-1.578,-8.497,-7.137,6.618,-1.504,1
-5.133,-1.566,-8.418,-7.092,6.649,-1.878,1
-5.193,-1.587,-8.540,-6.916,6.611,-2.008,1
-5.116,-1.573,-8.473,-6.977,6.557,-1.855,1
-5.181,-1.580,-8.502,-7.099,6.618,-1.542,1
-5.083,-1.563,-8.440,-7.000,6.809,-2.046,1
-5.167,-1.575,-8.437,-7.084,6.565,-1.611,1
-5.095,-1.580,-8.394,-7.153,6.565,-1.466,1
-5.171,-1.568,-8.468,-6.893,6.664,-2.168,1
-5.150,-1.547,-8.490,-7.092,6.565,-1.687,1
-5.169,-1.583,-8.411,-6.954,6.702,-1.718,1
-5.116,-1.551,-8.420,-7.107,6.580,-1.489,1
-5.155,-1.566,-8.475,-7.038,6.519,-1.595,1
-5.119,-1.604,-8.442,-6.847,6.695,-2.321,1
-5.140,-1.571,-8.423,-6.847,6.679,-2.450,1
-5.143,-1.580,-8.464,-7.153,6.603,-1.550,1
-5.124,-1.583,-8.461,-7.069,6.656,-1.779,1
-5.179,-1.614,-8.478,-6.924,6.603,-1.588,1
-5.162,-1.590,-8.480,-6.962,6.626,-1.893,1
-5.143,-1.587,-8.459,-6.931,6.756,-2.061,1
-5.126,-1.604,-8.408,-7.069,6.534,-1.450,1
-5.133,-1.621,-8.475,-6.863,6.725,-2.115,1
-5.145,-1.571,-8.440,-7.038,6.626,-1.725,1
-5.162,-1.599,-8.473,-7.015,6.595,-1.733,1
-5.116,-1.611,-8.485,-7.122,6.527,-1.328,1
-5.131,-1.607,-8.425,-6.870,6.641,-2.214,1
-5.133,-1.595,-8.485,-6.855,6.649,-2.031,1
-5.148,-1.592,-8.452,-7.206,6.649,-1.412,1
-5.133,-1.626,-8.473,-6.435,6.847,-3.359,1
-5.167,-1.549,-8.423,-7.351,6.573,-0.756,1
-5.162,-1.578,-8.516,-7.290,6.542,-1.191,1
-5.140,-1.623,-8.454,-6.786,6.679,-2.389,1
-5.131,-1.578,-8.475,-6.977,6.695,-1.939,1
-5.140,-1.571,-8.413,-6.824,6.679,-2.206,1
-5.174,-1.585,-8.487,-7.267,6.618,-1.244,1
-5.126,-1.590,-8.396,-7.130,6.519,-1.611,1
-5.157,-1.602,-8.497,-7.176,6.595,-1.374,1
-5.128,-1.587,-8.437,-7.137,6.725,-1.901,1
-5.133,-1.626,-8.480,-6.840,6.664,-2.176,1
-5.143,-1.595,-8.425,-7.000,6.618,-1.733,1
-5.143,-1.556,-8.435,-7.031,6.626,-1.656,1
-5.136,-1.592,-8.502,-7.061,6.695,-1.824,1
-5.148,-1.602,-8.490,-7.031,6.702,-1.962,1
-5.133,-1.618,-8.464,-6.756,6.740,-2.435,1
-5.131,-1.604,-8.454,-7.267,6.595,-1.015,1
-5.169,-1.590,-8.459,-7.008,6.725,-2.015,1
-5.133,-1.597,-8.490,-6.947,6.634,-2.099,1
-5.162,-1.592,-8.418,-7.008,6.588,-1.603,1
-5.140,-1.614,-8.487,-7.137,6.534,-1.298,1
-5.114,-1.587,-8.432,-6.969,6.679,-1.977,1
-5.140,-1.599,-8.456,-7.023,6.595,-1.832,1
-5.140,-1.592,-8.497,-6.908,6.656,-1.931,1
-5.162,-1.590,-8.480,-7.008,6.542,-1.802,1
-5.128,-1.652,-8.480,-6.962,6.656,-1.954,1
-4.144,-3.311,-9.278,61.870,14.427,-169.786,1
-6.194,-0.429,-9.369,-13.687,-184.374,213.763,1
-8.471,0.127,-4.774,-67.275,21.634,-120.672,1
0.134,-10.331,-5.801,-75.458,-52.649,8.214,1
-12.752,-0.067,-11.430,167.115,86.397,203.832,1
-10.051,1.657,-3.151,-24.809,49.359,-192.031,1
2.646,-11.823,-4.542,160.573,250.130,-187.916,1
-6.606,5.892,-12.426,122.611,60.298,167.450,1
-11.018,11.789,-5.090,12.748,44.336,-176.649,1
-9.433,-7.755,-8.583,-118.076,200.626,6.061,1
-7.898,1.702,-12.103,87.374,7.244,193.031,1
-3.881,8.452,-3.551,96.649,109.702,-168.397,1
-2.978,-7.003,-4.752,-152.580,-106.008,-160.565,1
-8.250,4.652,-8.796,158.832,-90.221,250.130,1
-6.208,11.511,-7.561,77.725,-66.389,-129.153,1
-3.915,-3.455,-3.273,-250.137,-240.664,10.382,1
-12.237,4.654,-13.139,132.550,-78.794,250.130,1
-1.006,7.489,-5.746,198.450,0.313,-154.977,1
-5.370,-3.455,-2.856,-250.137,-246.649,16.809,1
-8.952,1.958,-12.103,246.137,175.061,11.275,1
-8.464,10.642,-8.954,68.466,14.420,-36.664,2
-5.866,-3.737,-2.207,-250.137,-108.702,-69.947,2
-9.124,-6.177,-12.282,222.420,47.924,83.702,2
-12.321,9.397,-6.223,113.107,60.092,-44.603,2
-5.222,-3.259,-6.541,-250.137,-182.634,-55.786,2
-11.478,-11.720,-13.532,-48.641,52.214,228.038,2
-10.625,19.319,-10.661,250.130,102.771,2.214,2
-6.632,-4.087,-7.496,-248.824,-141.427,-130.038,2
-4.717,-10.101,-5.286,-153.450,30.229,183.603,2
-6.910,1.307,-12.220,195.076,24.832,40.603,2
-8.447,1.865,-5.459,-201.702,-179.397,-124.794,2
-8.566,-2.978,-5.219,120.656,-52.718,162.282,2
-8.135,-4.073,-1.228,-143.160,123.954,90.420,2
-9.311,0.019,-15.225,61.252,44.366,-75.389,2
2.998,8.183,2.442,52.992,-250.137,-83.282,2
-13.915,16.405,-13.010,14.824,78.863,-17.466,2
-11.885,1.477,-2.562,209.053,8.145,-220.992,2
-3.517,-0.196,-4.183,-160.191,147.183,188.634,2
-6.749,-1.899,-9.687,89.924,-116.267,82.038,2
-8.993,4.386,-2.995,91.740,5.672,-215.550,2
5.583,-11.870,-1.159,-77.069,-9.817,112.099,2
-4.726,9.390,-13.573,74.489,-42.221,202.603,2
-1.848,1.204,3.472,46.664,-126.023,-131.038,2
-4.468,1.307,-6.172,-127.573,82.702,198.802,2
-6.175,-2.274,-8.480,220.840,21.710,-184.038,2
