ax,ay,az,gx,gy,gz,cls
-4.096,-1.238,-9.100,-7.076,6.695,-1.710,1
-4.063,-1.243,-9.115,-6.687,7.084,-1.679,1
-4.044,-1.288,-9.088,-7.595,6.687,-1.855,1
-4.132,-1.245,-9.120,-7.160,6.695,-1.863,1
-4.096,-1.257,-9.079,-7.008,6.573,-1.702,1
-4.070,-1.238,-9.110,-7.252,6.672,-1.679,1
-4.118,-1.322,-9.067,-6.328,6.580,-1.588,1
-4.092,-1.216,-9.108,-6.840,6.550,-1.763,1
-4.099,-1.293,-9.096,-6.817,6.718,-1.687,1
-4.027,-1.197,-9.120,-7.168,6.969,-2.611,1
-4.216,-1.317,-9.278,-6.679,6.992,-1.122,1
-4.056,-1.180,-9.098,-7.214,6.664,-1.893,1
-4.046,-1.305,-9.031,-7.000,6.687,-1.725,1
-4.108,-1.233,-9.179,-7.038,6.618,-1.771,1
-4.053,-1.283,-9.031,-7.000,6.679,-1.771,1
-4.092,-1.274,-9.129,-7.221,6.450,-1.702,1
-4.061,-1.276,-9.103,-6.992,6.748,-1.718,1
-4.080,-1.269,-9.191,-7.198,6.733,-1.740,1
-4.044,-1.336,-9.072,-7.061,6.557,-1.656,1
-4.113,-1.288,-9.117,-7.115,6.573,-1.733,1
-4.010,-1.267,-9.067,-7.092,6.695,-1.786,1
-4.029,-1.264,-9.074,-7.092,6.649,-1.687,1
-4.152,-1.336,-9.103,-6.962,6.672,-1.710,1
-4.092,-1.195,-9.069,-7.107,6.733,-1.840,1
-4.123,-1.317,-9.081,-6.985,6.664,-1.740,1
-4.058,-1.219,-9.081,-7.023,6.687,-1.779,1
-4.125,-1.312,-9.084,-7.145,6.603,-1.740,1
-4.080,-1.233,-9.064,-7.122,6.718,-1.786,1
-4.106,-1.312,-9.134,-7.206,6.672,-1.756,1
-4.089,-1.214,-9.148,-7.092,6.603,-1.824,1
-4.111,-1.336,-9.129,-7.038,6.649,-1.740,1
-4.073,-1.255,-9.134,-7.130,6.626,-1.771,1
-4.039,-1.312,-9.175,-7.137,6.710,-1.779,1
-4.101,-1.211,-9.141,-7.084,6.702,-1.740,1
-4.046,-1.358,-9.155,-7.168,6.771,-1.794,1
-4.075,-1.252,-9.060,-7.000,6.718,-1.809,1
-4.068,-1.279,-9.129,-7.076,6.687,-1.733,1
-4.085,-1.281,-9.086,-7.115,6.656,-1.779,1
-4.106,-1.319,-9.069,-7.183,6.649,-1.832,1
-4.053,-1.202,-9.127,-7.069,6.664,-1.809,1
-4.106,-1.314,-9.084,-6.939,6.611,-1.733,1
-4.037,-1.281,-9.105,-7.115,6.649,-1.847,1
-4.101,-1.293,-9.076,-6.992,6.664,-1.817,1
-4.070,-1.240,-9.124,-7.298,6.573,-1.679,1
-4.374,-1.808,-9.979,-36.229,5.611,137.496,1
-5.380,-1.051,-9.874,-21.557,-82.275,73.214,1
-7.712,2.813,-4.228,-40.908,-104.351,120.924,1
-17.921,-12.555,1.480,8.374,-177.382,-231.656,1
-4.563,-14.724,-3.306,26.099,36.947,-141.000,1
-10.503,-2.703,-8.250,76.527,58.450,-13.901,1
17.904,-7.003,11.480,-132.298,-250.137,-62.290,1
-8.468,0.335,-10.673,157.977,-24.351,250.130,1
-6.273,4.348,-0.469,-47.420,44.168,-183.344,1
-2.528,-17.071,-6.907,-53.687,17.015,76.771,1
-15.457,19.613,-6.134,169.305,-71.244,215.664,1
-8.871,6.033,-3.752,-94.580,87.992,-144.870,1
-2.464,-6.151,-4.051,-193.160,-89.168,-207.878,1
-3.948,-16.060,-16.841,250.130,118.237,191.679,1
-11.916,6.316,-15.486,61.580,78.237,-39.206,1
-3.244,-0.438,-4.391,-250.137,-250.137,-64.595,1
-5.327,-9.823,-8.253,-80.573,91.618,169.779,1
-7.954,1.611,-11.370,250.130,-2.740,27.076,1
-10.307,4.997,-5.377,70.580,31.183,-115.450,1
-0.467,-13.824,-0.227,-230.832,12.756,-0.336,1
-7.946,-0.986,-15.285,117.733,90.863,199.176,1
-9.131,9.697,-4.752,44.695,-123.740,-203.847,1
6.586,-10.637,-8.418,-124.313,40.992,0.107,1
-3.807,2.813,-11.190,250.130,44.565,209.511,1
-10.939,9.639,-12.165,90.832,107.565,-250.137,1
-4.611,-1.329,-7.020,-250.137,-232.130,-194.382,1
-9.404,-5.545,-11.945,147.992,171.931,220.931,1
7.934,9.167,-15.814,71.305,-137.107,250.130,1
-8.301,-4.403,-9.541,-250.137,-250.137,-205.802,1
-3.412,-7.992,-5.691,-207.267,-100.405,-0.305,1
-7.702,13.637,-8.080,250.130,209.198,167.344,1
