ax,ay,az,gx,gy,gz,cls
-7.309,-0.634,-8.863,-25.588,0.550,4.893,2
-4.994,1.176,-7.214,-20.099,7.130,0.763,2
-5.389,-0.603,-7.779,-1.282,2.244,-28.160,2
-6.048,-1.111,-8.121,-30.389,13.160,20.786,2
-5.272,-0.503,-9.282,20.580,18.947,-46.008,2
-5.873,-0.012,-8.777,-10.084,-3.534,-28.962,2
-3.536,4.094,-7.733,44.229,-25.130,-74.901,2
-8.210,-0.802,-7.214,-11.252,13.191,0.985,2
-6.393,0.239,-7.592,-9.534,16.351,6.229,2
-6.086,-0.108,-8.100,1.954,5.450,-11.313,2
-5.914,-0.050,-7.954,-1.176,5.176,-10.053,2
-6.000,-0.227,-8.224,-7.718,7.122,4.603,2
-6.495,-0.199,-8.181,-10.779,10.405,3.634,2
-5.078,-0.089,-8.863,3.649,8.321,-22.519,2
-6.225,-0.409,-7.865,-6.840,8.298,1.282,2
-5.954,-0.524,-7.781,-7.099,5.458,-0.893,2
-6.132,-0.484,-7.961,-7.802,7.183,-0.282,2
-6.012,-0.409,-7.918,-6.527,6.702,-0.145,2
-5.904,-0.242,-7.851,-5.931,6.008,-3.740,1
-6.203,-0.551,-7.973,-6.885,7.344,-2.290,1
-6.072,-0.259,-8.133,-7.344,8.626,-0.611,1
-5.914,-0.515,-7.903,-5.763,4.450,-3.061,0
-5.962,-0.441,-7.891,-5.847,8.038,-0.702,0
-5.978,-0.424,-8.722,-5.771,6.038,0.000,0
-6.045,-0.496,-8.097,-7.603,7.702,-0.802,0
-6.072,-0.711,-7.997,-7.397,7.435,-1.664,0
-5.954,-0.601,-7.937,-6.664,7.687,-0.824,0
-6.014,-0.639,-8.033,-6.679,6.695,-2.397,1
-5.823,-0.532,-8.045,-6.221,5.718,-3.221,1
-6.002,-0.512,-7.963,-4.969,5.634,-1.664,1
-5.909,-0.754,-8.085,-8.176,6.588,2.954,1
-6.060,-0.754,-7.980,-8.672,6.145,-1.496,1
-6.076,-0.809,-7.343,-3.649,8.924,-8.725,1
-5.988,-0.704,-7.932,-8.481,6.939,1.412,1
-6.012,-0.603,-7.992,-8.282,6.679,2.412,1
-5.978,-0.395,-8.025,-3.298,5.618,-9.511,1
-6.093,-0.678,-8.303,-5.840,5.344,-2.855,1
-6.167,-0.582,-8.162,-9.832,7.779,2.878,1
-5.978,-0.572,-7.951,-6.893,6.153,-0.061,1
-6.074,-0.333,-8.229,-7.015,5.603,-0.084,1
-5.981,-0.627,-7.884,-6.519,6.626,-2.099,1
-5.856,-0.563,-7.932,-6.099,7.137,-5.359,1
-6.280,-0.441,-8.215,-6.244,8.672,-5.710,1
-5.969,-0.553,-8.047,-8.069,6.092,-0.534,1
-5.818,-0.469,-7.894,-6.595,6.321,-4.214,1
-5.952,-0.611,-8.040,-7.038,6.580,-2.405,1
-6.076,-0.577,-7.867,-7.443,7.786,-1.366,1
