ax,ay,az,gx,gy,gz,cls
-7.386,-3.594,-5.705,-9.130,-10.771,-18.992,1
-7.575,-3.634,-5.195,-18.305,7.863,23.145,2
-8.135,-3.266,-5.614,-9.351,-17.466,4.435,0
-10.578,-3.438,-7.106,21.725,9.740,8.924,2
-7.446,-4.044,-1.140,165.321,-250.137,-45.794,2
-4.051,-3.438,5.490,17.282,-119.763,80.107,2
-8.112,-2.598,1.731,-92.595,200.427,80.374,2
-9.862,-2.945,-4.863,-18.763,51.069,-2.412,2
-10.867,-4.080,-6.321,10.702,7.214,-8.588,2
-11.356,-4.092,-4.602,52.763,-169.901,36.626,2
-4.781,-2.789,6.929,17.679,-100.237,-34.504,2
-4.618,-4.288,6.000,-25.954,3.427,-6.191,2
-9.005,-3.836,1.978,-78.359,176.130,79.794,2
-9.953,-3.982,-5.009,-11.031,89.382,-7.122,2
-10.839,-4.278,-3.251,64.534,-202.435,18.458,2
-7.058,-3.077,0.871,41.489,-250.137,53.672,2
-4.690,-1.935,6.800,-6.565,74.015,-10.397,2
-7.082,-2.143,5.650,-32.290,109.481,37.794,2
-8.459,-0.986,2.301,-5.863,119.664,28.176,2
-11.985,-1.298,-0.491,-3.893,83.313,-11.771,2
-10.264,-0.493,1.092,21.366,-250.137,24.679,2
-4.666,-1.487,3.007,-4.718,-177.427,-84.603,2
-4.334,-2.495,5.918,-24.832,57.511,-2.847,2
-6.349,-1.765,6.146,-26.260,144.046,15.389,2
-8.971,-3.455,1.915,-22.115,127.817,4.168,2
-11.035,-2.619,-2.602,-19.053,91.313,6.771,2
-7.207,-2.234,-4.211,89.290,-131.634,-50.000,2
-11.581,-3.472,3.895,94.641,-250.137,28.718,2
-4.343,-1.463,6.981,-25.183,9.305,-26.489,2
-5.605,-3.033,7.204,-36.008,108.084,9.740,2
-7.994,-3.237,1.906,-9.122,167.863,-41.229,2
-9.412,-3.381,-3.694,-20.840,111.885,-8.412,2
-12.725,-2.689,-3.845,-15.534,91.527,28.504,2
-4.978,-0.069,0.855,-33.275,-250.137,96.122,2
-3.673,-1.839,6.627,-48.878,57.779,5.771,2
-3.905,-2.219,6.179,-26.901,147.351,22.954,2
-9.855,-4.324,-4.061,28.794,207.008,-40.237,2
-9.871,-2.971,0.326,-16.672,96.565,32.954,2
-11.128,-2.387,-2.808,-2.229,14.733,22.489,2
-3.651,0.515,1.824,-52.580,-194.817,-6.496,2
-4.116,-0.864,6.608,-8.969,32.443,-28.924,2
-2.057,-1.611,6.179,11.397,138.916,-11.733,2
-10.700,-2.538,2.581,4.145,199.321,-33.992,2
-12.871,-1.034,-0.105,-31.733,118.710,27.321,2
-11.583,-0.306,-1.549,-22.763,19.977,8.130,2
-7.954,0.821,3.172,15.595,-163.145,-90.656,2
-4.367,-0.369,4.700,14.374,-156.099,-103.229,2
-6.663,-1.061,6.325,-35.489,121.382,21.061,2
-9.524,-0.110,-0.280,-37.779,113.588,45.145,2
-9.158,-1.219,-2.701,-21.420,118.359,15.076,2
-9.996,-1.302,-4.061,18.656,21.328,-37.206,2
-12.146,-1.609,-3.512,-7.618,6.237,-4.695,2
-11.001,-3.936,1.295,77.160,-229.496,-77.092,2
-5.681,-1.314,5.205,-4.137,-4.832,6.237,2
-6.318,-2.729,6.608,-3.611,148.878,7.863,2
-10.688,-3.297,1.362,15.786,105.420,-14.618,2
-9.929,-1.839,-2.344,-25.519,88.351,10.244,2
-10.937,-2.112,-2.500,-2.557,-11.603,33.366,2
-10.879,-0.620,-4.058,19.695,-26.214,-5.221,2
-6.891,0.520,4.786,19.878,-248.695,14.481,2
-7.264,-1.092,5.303,0.321,94.229,-26.282,2
-8.138,-2.322,5.993,-17.573,107.336,7.626,2
-10.719,-0.733,-1.168,-19.137,86.832,9.855,2
-11.655,-1.159,-2.047,-11.733,-1.649,19.305,2
-10.151,-0.599,0.007,9.992,-96.504,-16.443,2
-7.439,-1.199,1.788,-0.344,-101.924,-29.855,2
-6.519,-1.010,2.895,-28.725,-28.718,-21.244,2
-8.121,-0.792,4.029,-34.252,26.305,-14.153,2
-8.923,-1.228,-1.034,-47.496,117.794,-34.038,2
-9.474,-0.982,-2.354,-7.305,110.489,79.565,2
-10.611,-0.730,-2.959,5.397,-151.206,-6.382,2
-8.104,-0.912,-1.053,-19.366,-163.145,-93.542,2
-6.060,-1.906,6.304,23.939,-13.351,41.809,2
-6.079,-1.008,3.941,-1.733,11.802,10.092,2
-6.395,-1.872,4.537,-20.069,18.588,8.130,2
-8.993,-0.273,3.397,-36.267,250.130,8.893,2
-9.694,-2.818,1.441,-37.519,172.046,8.901,2
-9.395,0.745,-2.485,5.908,51.847,30.397,2
-10.915,-0.017,-2.081,-1.282,18.481,17.870,2
-12.457,1.018,-2.492,-7.695,-20.542,-30.366,2
-7.056,-1.688,1.700,-4.267,-213.924,-66.412,2
-5.871,-1.623,5.650,-9.664,-12.450,9.954,2
-7.621,-3.005,3.201,14.092,205.710,-26.618,2
-11.444,-2.890,-0.024,-43.275,200.282,25.641,2
-9.735,-2.064,-3.491,-6.771,11.710,3.649,2
-11.064,-1.274,-2.782,-8.183,-17.794,9.351,2
-9.479,-2.454,1.369,-15.824,-189.321,-24.939,2
-5.437,-2.148,3.505,-31.832,-140.336,-36.214,2
-7.570,-2.945,3.768,27.145,151.076,16.321,2
-9.993,-2.825,1.396,45.160,211.672,-30.397,2
-9.589,-1.621,-1.803,6.466,58.771,6.366,2
-11.236,-1.899,-3.112,4.130,23.198,-10.672,2
-13.628,-2.112,-3.086,-8.565,-53.496,-13.794,2
-4.456,-3.745,8.705,-43.817,-227.191,20.916,2
-6.800,-1.595,4.456,-14.244,-10.489,5.351,2
-7.149,-2.421,5.310,-11.656,6.481,5.214,2
-6.847,-2.502,5.564,2.053,71.679,8.679,2
-7.262,-3.582,2.844,62.740,216.198,-44.229,2
-8.760,-2.054,3.575,-8.832,228.664,-26.397,2
-10.659,-2.784,-2.895,-3.557,-3.023,0.817,2
-10.846,-2.188,0.213,-12.084,-169.023,-34.588,2
-7.700,-4.451,1.030,-39.366,-201.214,10.076,2
-5.748,-2.126,5.715,13.802,17.450,-18.565,2
-6.397,-1.767,4.252,-5.359,7.099,6.351,2
-6.582,-2.083,3.733,-30.237,-0.313,-6.107,2
-6.972,-2.775,4.714,-25.374,26.435,4.130,2
-7.374,-3.395,4.331,-46.069,26.176,26.573,2
-10.436,-0.876,0.632,31.992,155.573,-45.389,2
-11.863,-2.502,-2.349,8.344,-26.962,-1.641,2
-10.149,-2.430,-1.171,-6.878,-128.901,-7.061,2
-5.294,-3.979,4.197,-8.809,-128.069,-6.718,2
-4.252,-2.959,8.145,3.000,-45.573,48.794,2
-7.293,-4.223,3.587,46.000,250.130,-39.198,2
-10.192,-2.274,-1.846,-10.725,229.427,2.710,2
-10.961,-3.007,-4.690,-21.115,50.710,46.740,2
-11.911,-1.788,-3.455,-14.779,-108.305,20.015,2
-8.100,-1.592,0.644,7.992,-20.458,-33.328,2
-8.746,-2.162,3.536,19.122,26.153,7.198,2
-7.168,-2.380,3.237,-21.649,-46.916,-19.153,2
-10.793,-2.564,1.113,-24.092,182.198,37.374,2
-11.360,-1.161,-3.867,2.313,27.504,10.237,2
-11.212,-1.058,-2.495,0.786,-60.107,11.969,2
-8.959,-1.786,1.384,5.824,-84.954,-28.740,0
-8.301,-2.023,4.204,12.557,-46.534,-52.710,2
-8.490,-3.314,3.828,-28.725,17.832,13.260,2
-6.744,-2.710,2.720,-4.115,107.840,60.298,2
-10.779,-0.833,-2.495,-4.740,71.740,12.038,2
-10.681,-1.405,-2.667,-1.649,31.000,-5.321,2
-9.864,-3.570,-1.156,-58.710,-114.031,63.527,0
-7.690,-0.412,1.501,1.947,-27.649,-31.748,2
-8.507,-1.290,1.300,-15.061,-1.679,-10.649,2
-7.784,-1.796,1.152,-44.344,-12.107,-13.252,2
-8.792,-1.549,-1.982,-3.527,135.725,-18.313,2
-9.682,-1.307,-3.706,-4.275,8.870,-1.275,2
-10.022,-1.446,-2.619,-37.855,-75.565,44.519,2
-9.613,0.795,-2.576,19.443,27.725,38.595,2
-8.145,-0.486,0.247,-0.008,-9.855,-15.786,2
-7.472,-0.634,0.924,-26.504,-51.344,-27.702,2
